id,key,category,expression,unit,source_type,enforce_level,reference
273863c7-b683-4a51-8cab-9ff3aa804452,FRAME_AREA,WIND,GFA_TOTAL * 2.4 * WIND_FACTOR,mÂ²,HEURISTIC,DEFAULT_ONLY,
056ec741-7b4b-4f64-901a-ddb3c656fd73,FRAME_WIND_FACTOR_C1,WIND,1.25,ratio,GUIDANCE,DEFAULT_ONLY,AS 1684 / AS 4055
8badffcc-aa41-48de-abc4-b65cd63501dc,FRAME_WIND_FACTOR_N1,WIND,1.00,ratio,GUIDANCE,DEFAULT_ONLY,AS 1684 / AS 4055
11823258-43f4-426f-8591-81b753e53f20,FRAME_WIND_FACTOR_N2,WIND,1.10,ratio,GUIDANCE,DEFAULT_ONLY,AS 1684 / AS 4055
cf16a56d-0763-4acb-8ffd-22368fb69752,FRAME_WIND_FACTOR_N3,WIND,1.20,ratio,GUIDANCE,DEFAULT_ONLY,AS 1684 / AS 4055
e614d3dc-e0f3-47ca-97d2-9344d568f385,GFA_TOTAL,INPUTS,INPUT,mÂ²,HEURISTIC,DEFAULT_ONLY,
b592b886-e39f-42e3-a21b-8207285eb27c,HOT_WATER_SYSTEMS,MEP,1,no,HEURISTIC,DEFAULT_ONLY,
a4fc10b6-3c85-4c60-8f01-33bd0ff2c953,INTERNAL_DOOR_COUNT,DOORS,BEDROOM_COUNT + BATHROOM_COUNT + 4,no,HEURISTIC,DEFAULT_ONLY,
eaf05850-651d-49bb-8fbd-6f15f73ac17b,INTERNAL_PARTITION_1SIDE,PARTITIONS,(FOOTPRINT_AREA * STOREYS * DENSITY_FACTOR) * (CEILING_HEIGHT_HAB / 2.7),mÂ²,HEURISTIC,DEFAULT_ONLY,
fe9832a4-cc36-4ff1-9f61-f9b85724dda6,LIGHT_POINTS,MEP,GFA_TOTAL / 10,no,HEURISTIC,DEFAULT_ONLY,
4c2a8ee2-fb0f-45a2-a725-60d158ce26f2,NAT_VENT_OPENABLE_RATIO,VENTILATION,0.05,ratio,NCC_DTS,MINIMUM,NCC Part 10.6
ba0311e2-4c1e-4318-b19b-de21c7abf781,PERIMETER,GEOMETRY,sqrt(FOOTPRINT_AREA * 4) * SHAPE_FACTOR,m,HEURISTIC,DEFAULT_ONLY,
542fcfe1-9d88-43d9-9fae-4b3cbf0ca4df,PLASTERBOARD_AREA,PARTITIONS,INTERNAL_PARTITION_1SIDE * 2,mÂ²,HEURISTIC,DEFAULT_ONLY,
1c4a8ffb-bcdf-48cd-b0d7-8892c6f683ca,PLUMBING_FIXTURES,MEP,(BATHROOM_COUNT * 4) + 2 + 3,no,HEURISTIC,DEFAULT_ONLY,
d1aa774d-8071-4236-8400-57c2a42fb394,POWER_POINTS,MEP,(BEDROOM_COUNT * 4) + 6 + 8 + (BATHROOM_COUNT * 2) + 2,no,HEURISTIC,DEFAULT_ONLY,
b2b15a5a-fe11-4003-9a3f-54a659dc77d3,ROOF_AREA,GEOMETRY,FOOTPRINT_AREA * ROOF_FACTOR,mÂ²,HEURISTIC,DEFAULT_ONLY,
ad70f57d-1106-4dfc-8c6a-1df27c63a114,ROOF_FACTOR,INPUTS,1.15,ratio,HEURISTIC,DEFAULT_ONLY,
195e3016-b5fc-4e2b-a0da-1c8aa528a9fa,SHAPE_FACTOR,INPUTS,1.20,ratio,HEURISTIC,DEFAULT_ONLY,
7df3afc7-c8d7-44e9-b656-09c7f15276d1,SLAB_AREA,SUBSTRUCTURE,FOOTPRINT_AREA,mÂ²,HEURISTIC,DEFAULT_ONLY,
8aeafb5a-d599-4457-a765-fa4222ef1381,SLAB_VOLUME,SUBSTRUCTURE,FOOTPRINT_AREA * 0.10 * WASTE_CONCRETE,mÂ³,HEURISTIC,DEFAULT_ONLY,
da93f11d-01b1-45db-9789-0f82b71ac77e,SLIDING_DOOR_COUNT,DOORS,1,no,HEURISTIC,DEFAULT_ONLY,
e34fc99f-3e88-4bea-97c9-bce04d1410cc,SMOKE_ALARM_BEDROOM_DIST,SMOKE_ALARMS,1500,mm,NCC_DTS,MAXIMUM,NCC Part 9.5
7c63d809-43cb-4200-bf97-479e79f97de1,SMOKE_ALARM_CEILING_OFFSET,SMOKE_ALARMS,300,mm,NCC_DTS,MINIMUM,NCC Part 9.5
797fc671-cef0-42fb-9b6e-dbf7bc0858c4,SMOKE_ALARMS_MIN,SMOKE_ALARMS,BEDROOM_STOREY_COUNT + BEDROOM_HALLWAY_COUNT,no,NCC_DTS,MINIMUM,NCC 2022 Vol 2 Part 3.7.2 - Smoke Alarms
7376eef3-9926-4e7e-b852-1fa56c01a4ad,STAIR_2R_PLUS_G_MAX,STAIRS,700,mm,NCC_DTS,MAXIMUM,NCC Part 11.2 Table 11.2.2a
db21ae00-e6bd-4bb9-b744-745ebaf0809d,STAIR_2R_PLUS_G_MIN,STAIRS,550,mm,NCC_DTS,MINIMUM,NCC Part 11.2 Table 11.2.2a
337c2d00-2910-4254-826a-322fcb330ee7,STAIR_AREA,STAIRS,(STOREYS - 1) * 4.5,mÂ²,HEURISTIC,DEFAULT_ONLY,
31ebdbaf-c454-4ef9-bc3a-25bae578e55c,STAIR_GOING_MAX,STAIRS,355,mm,NCC_DTS,MAXIMUM,NCC Part 11.2 Table 11.2.2a
9b841a0c-a4ec-473f-a797-80fb34f2a713,STAIR_GOING_MIN,STAIRS,240,mm,NCC_DTS,MINIMUM,NCC Part 11.2 Table 11.2.2a
25f6ce4b-95c8-4d88-a3b7-8c0b2ebe7890,STAIR_RISE_MAX,STAIRS,190,mm,NCC_DTS,MAXIMUM,NCC Part 11.2 Table 11.2.2a
db6d185f-e1e7-47e3-bd87-b2f4f7e62d3a,STAIR_RISE_MIN,STAIRS,115,mm,NCC_DTS,MINIMUM,NCC Part 11.2 Table 11.2.2a
4abdd067-6953-4ba4-bf77-fe5fe2990245,STAIR_RISERS_PER_FLIGHT_MAX,STAIRS,18,no,NCC_DTS,MAXIMUM,NCC Part 11.2
dc7072b0-36c2-4457-b82b-c87b43a81b97,STAIR_WIDTH_DEFAULT,STAIRS,900,mm,HEURISTIC,DEFAULT_ONLY,
ae5d0131-68b6-46ab-a5e1-57b66b224b76,STAIR_WIDTH_MIN,STAIRS,600,mm,NCC_DTS,MINIMUM,NCC Part 11.2
cfb1fe1f-075e-4a1d-bf19-1cd4c34ccdf0,STOREYS,INPUTS,INPUT,int,HEURISTIC,DEFAULT_ONLY,
b70b01e6-3cd7-471c-822b-b125749d5452,VOID_DEDUCTION_CONCRETE,GEOMETRY,0.05,mÂ³,GUIDANCE,MINIMUM,NRM2 Part 2 Measurement Rules
ab8c2939-542a-43d4-92ec-6092a7043adc,VOID_DEDUCTION_FINISHES,GEOMETRY,1.00,mÂ²,GUIDANCE,MINIMUM,NRM2 Part 2 Measurement Rules
